Account.Name,AccountId,Department,Email,EmailBouncedDate,EmailBouncedReason,Fax,FirstName,Id,Jigsaw,LastName,MailingCity,MailingCountry,MailingCountryCode,MailingGeocodeAccuracy,MailingLatitude,MailingLongitude,MailingPostalCode,MailingState,MailingStateCode,MailingStreet,MiddleName,MobilePhone,Name,Phone,ReportsTo.Name,ReportsToId,Salutation,Suffix,Title
Stadler Household,001WE00000tabuIYAQ,,kyle+test@krahnborn.com,,,,Tim,003WE00000ygzFuYAI,,Stadler,Madison,United States,US,,,,53703,WI,WI,701 East Washington Avenue,,,Tim Stadler,,,,,,
Krahnborn 2,001WE00000tavrMYAQ,,kyle+test@krahnborn.com,,,,Kyle,003WE00000yhPS3YAM,,Krahn,Madison,United States,US,,,,53703,WI,WI,801 East Washington Avenue,,,Kyle Krahn,,,,,,
FridayTests,001WE00000tjk3pYAA,,nikki@krahnborn.com,,,,Nikki,003WE00000ypEftYAE,,Piontek,Brookfield,United States,US,,,,53005,WI,WI,12485 Robinwood Street,,4145887304,Nikki Piontek,,,,,,
Rizzo Property Management,001WE00000tjxHBYAY,,,,,,Zach,003WE00000ypbHVYAY,,Rizzo,,,,,,,,,,,,,Zach Rizzo,,,,,,
Piontek Household,001WE00000tk0LWYAY,,pionteknikki@gmail.com,,,,Nicole,003WE00000yphl7YAA,,Piontek,,,,,,,,,,,,,Nicole Piontek,,,,,,
A-OK Insurance,001WE00000tkC6XYAU,,,,,,Test,003WE00000ypySbYAI,,Insurer,,,,,,,,,,,,,Test Insurer,,,,,,
Simpson Household,001WE00000tkDU2YAM,,,,,,Homer,003WE00000ypz6wYAA,,Simpson,Springfield,United States,US,,,,37172,TN,TN,124 W 6th Ave,,,Homer Simpson,,,,,,
Woodward Household,001WE00000tkHJ7YAM,,test@test.com,,,,Sanford,003WE00000yq3QfYAI,,Woodward,F st,United States,US,,,,20002,District of Columbia,DC,60,,,Sanford Woodward,12364567891,,,,,
Johnson Household,001WE00000tlFFIYA2,,test@test.com,,,,Tim,003WE00000yriWbYAI,,Johnson,Franklin,United States,US,,,,37067,Tennessee,TN,2013 Cedarmont Drive,,,Tim Johnson,12345678941,,,,,
Frederick Household,001WE00000ttrIYYAY,,,,,,Mike,003WE00000z0089YAA,,Frederick,Sacramento,United States,US,,,,95814,California,CA,57 J Street,,,Mike Frederick,,,,,,
Angelo Household,001WE00000tuXuTYAU,,amy@work.com,,,,Amy,003WE00000z0S9FYAU,,Angelo,Brentwood,United States,US,,,,37027,Tennessee,TN,9015 Forest Lawn Drive,,,Amy Angelo,1234567891234,,,,,
Virsys15,001WE00000tukLRYAY,,jake@v15.com,,,,Jacob,003WE00000z0e0jYAA,,Aaron,Brentwood,United States,US,,,,37027,Tennessee,TN,9025 Forest Lawn Drive,,,Jacob Aaron,1234567891,,,,,
A-OK Insurance,001WE00000tkC6XYAU,,,,,,Carol,003WE00000z8IxVYAU,,Smith,,United States,US,,,,,,,,,,Carol Smith,,,,,,Agent
