City,Company,companycam__ProjectID__c,Concrete_Coating__c,Country,CountryCode,Email,EmailBouncedDate,EmailBouncedReason,Exterior_Cleaning__c,FirstName,Garage_Floors__c,GeocodeAccuracy,Gutters__c,Id,Industry,IsUnreadByOwner,Jigsaw,LastName,Latitude,LeadSource,Longitude,MiddleName,MobilePhone,Name,NumberOfEmployees,Painting__c,Phone,PostalCode,Rating,Roofing__c,Salutation,State,StateCode,Status,Street,Suffix,Title,Website
Madison,Stadler Household,,false,United States,,kyle+test@krahnborn.com,,,false,Tim,false,,false,00QWE00000O01G12AJ,,false,,Stadler,,Advertisement,,,,Tim Stadler,,true,,53703,,false,,WI,,Qualified,701 East Washington Avenue,,,
Madison,Krahnborn,,false,United States,,kyle+test@krahnborn.com,,,false,Kyle,false,,false,00QWE00000O02Yf2AJ,,false,,Krahn,,,,,,Kyle Krahn,,false,,53703,,false,,WI,,Qualified,801 East Washington Avenue,,,
Brookfield,Krahnborn,,false,United States,,nikki@krahnborn.com,,,false,Nikki,false,,false,00QWE00000O2CgD2AV,,false,,Piontek,,Website,,,4145887304,Nikki Piontek,,false,,53005,Warm,true,,WI,,Qualified,12485 Robinwood Street,,,
,Piontek Household,,true,,,pionteknikki@gmail.com,,,false,Nicole,false,,false,00QWE00000O2tLx2AJ,,false,,Piontek,,,,,,Nicole Piontek,,true,,,,false,,,,Qualified,,,,
F st,test Household,,false,us,,test@test.com,,,false,test,false,,false,00QWE00000O302T2AR,,false,,test,,Trade Show,,,,test test,,true,12364567891,20002,Hot,false,,DC,,Qualified,60,,,
Springfield,Simpson Household,,false,United States,,,,,false,Homer,false,,false,00QWE00000O327V2AR,,false,,Simpson,,,,,,Homer Simpson,,false,,37172,,true,,TN,,Qualified,124 W 6th Ave,,,
Franklin,Johnson Household,,false,United States,US,test@test.com,,,false,Tim,false,,false,00QWE00000O3V1R2AV,,false,,Johnson,,Advertisement,,,,Tim Johnson,,true,12345678941,37067,Hot,false,,Tennessee,TN,Qualified,2013 Cedarmont Drive,,,
Sacramento,Frederick Household,,false,United States,US,,,,false,Mike,false,,false,00QWE00000O5oUb2AJ,,false,,Frederick,,Advertisement,,,,Mike Frederick,,true,,95814,,false,,California,CA,Qualified,57 J Street,,,
Brentwood,Angelo Household,,false,United States,US,amy@work.com,,,false,Amy,true,,true,00QWE00000O61YH2AZ,,false,,Angelo,,Advertisement,,,,Amy Angelo,,true,1234567891234,37027,,false,,Tennessee,TN,Qualified,9015 Forest Lawn Drive,,,
Brentwood,Virsys15,,true,United States,US,jake@v15.com,,,false,Jacob,false,,false,00QWE00000O67932AB,,false,,Aaron,,,,,,Jacob Aaron,,false,1234567891,37027,,true,,Tennessee,TN,Qualified,9025 Forest Lawn Drive,,,
